OBJECTID,JAMOAT,DISTRICT,JAMOAT_NAM,AGRI_AREA,ROAD_LENGT,NR_PEOPLE,NR_BUILDIN,BUAT_AREA,BUIL_DR_25,TEMP,BUIL_DR_26,BUIL_DR_27,BUIL_DR_28,BUIL_DR_29,PEOP_DR_25,PEOP_DR_26,PEOP_DR_27,PEOP_DR_28,PEOP_DR_29,AGRI_DR_25,AGRI_DR_26,AGRI_DR_27,AGRI_DR_28,AGRI_DR_29,ROAD_DR_25,ROAD_DR_26,ROAD_DR_27,ROAD_DR_28,ROAD_DR_29,BUIL_DR_50,BUIL_DR_51,BUIL_DR_52,BUIL_DR_53,BUIL_DR_54,PEOP_DR_50,PEOP_DR_51,PEOP_DR_52,PEOP_DR_53,PEOP_DR_54,AGRI_DR_50,AGRI_DR_51,AGRI_DR_52,AGRI_DR_53,AGRI_DR_54,ROAD_DR_50,ROAD_DR_51,ROAD_DR_52,ROAD_DR_53,ROAD_DR_54,BUIL_DR_10,BUIL_DR_11,BUIL_DR_12,BUIL_DR_13,BUIL_DR_14,PEOP_DR_10,PEOP_DR_11,PEOP_DR_12,PEOP_DR_13,PEOP_DR_14,AGRI_DR_10,AGRI_DR_11,AGRI_DR_12,AGRI_DR_13,AGRI_DR_14,ROAD_DR_10,ROAD_DR_11,ROAD_DR_12,ROAD_DR_13,ROAD_DR_14,Shape_Length,Shape_Area
1,Asht_Asht,Asht,Asht,2992,65,21835,5352,904,5178,100,174,0,0,0,21122,713,0,0,0,2895,92,0,0,0,42,23,0,0,0,0,0,5352,0,0,0,0,21835,0,0,2,0,2936,49,0,0,0,64,0,0,0,0,0,0,5352,0,0,0,0,21835,0,0,0,0,2987,0,0,0,0,65,143639.8725,349456275
2,Asht_Punuk,Asht,Punuk,1980,73,8948,2622,440,2585,95,1,0,0,0,8824,2,0,0,0,1937,0,0,0,0,67,1,0,0,0,28,1,2529,11,0,97,4,8632,38,0,20,1,1430,473,0,2,0,66,1,0,0,0,0,9,2577,0,0,0,29,8796,0,0,0,1,1936,0,0,0,1,69,76782.01811,145765350
3,Asht_Punuk,Asht,Punuk,1980,73,8948,2622,440,2585,95,1,0,0,0,8824,2,0,0,0,1937,0,0,0,0,67,1,0,0,0,28,1,2529,11,0,97,4,8632,38,0,20,1,1430,473,0,2,0,66,1,0,0,0,0,9,2577,0,0,0,29,8796,0,0,0,1,1936,0,0,0,1,69,31333.52886,4690012.5
4,Asht_Ponghoz,Asht,Ponghoz,1064,23,28281,5064,859,5064,100,0,0,0,0,28281,0,0,0,0,1063,0,0,0,0,23,0,0,0,0,0,0,5064,0,0,0,0,28281,0,0,0,0,1063,0,0,0,0,23,0,0,0,0,0,0,5064,0,0,0,0,28281,0,0,0,0,1063,0,0,0,0,23,73993.80615,189097087.5
5,Asht_Oshoba,Asht,Oshoba,11576,90,21361,5376,920,5375,100,0,0,0,0,21355,0,0,0,0,11556,0,0,0,0,90,0,0,0,0,0,0,5375,0,0,0,0,21355,0,0,10,1,11541,0,0,0,0,90,0,0,0,0,0,0,5375,0,0,0,0,21355,0,0,0,0,11556,0,0,0,0,90,160412.1856,389722725
6,Asht_Shaydon,Asht,Shaydon,7985,92,6173,7080,1201,7080,100,0,0,0,0,6173,0,0,0,0,7985,0,0,0,0,92,0,0,0,0,0,0,7080,0,0,0,0,6173,0,0,0,0,7985,0,0,0,0,92,0,0,0,0,0,0,7080,0,0,0,0,6173,0,0,0,0,7985,0,0,0,0,92,182506.6164,590353875
7,Asht_Iftikhor,Asht,Iftikhor,2746,55,11415,1917,326,1917,100,0,0,0,0,11415,0,0,0,0,2745,0,0,0,0,55,0,0,0,0,0,0,1917,0,0,0,0,11415,0,0,1,0,2744,0,0,0,0,55,0,0,0,0,0,0,1917,0,0,0,0,11415,0,0,0,0,2745,0,0,0,0,55,93790.38571,148386600
8,Asht_Punuk,Asht,Punuk,1980,73,8948,2622,440,2585,95,1,0,0,0,8824,2,0,0,0,1937,0,0,0,0,67,1,0,0,0,28,1,2529,11,0,97,4,8632,38,0,20,1,1430,473,0,2,0,66,1,0,0,0,0,9,2577,0,0,0,29,8796,0,0,0,1,1936,0,0,0,1,69,32505.91645,23375925
9,Asht_Oriyon,Asht,Oriyon,4075,30,18187,4891,833,4891,100,0,0,0,0,18187,0,0,0,0,4055,0,0,0,0,30,0,0,0,0,0,0,3346,1545,0,0,0,12445,5742,0,10,0,2381,1662,0,0,0,19,11,0,0,0,0,0,4891,0,0,0,0,18187,0,0,0,0,4055,0,0,0,0,30,45970.3221,54716400
10,Asht_Adrasmon,Asht,Adrasmon,336,30,15100,2845,505,2845,100,0,0,0,0,15100,0,0,0,0,336,0,0,0,0,30,0,0,0,0,0,0,2845,0,0,0,0,15100,0,0,0,0,336,0,0,0,0,30,0,0,0,0,0,0,2845,0,0,0,0,15100,0,0,0,0,336,0,0,0,0,30,38042.06193,83644762.5
11,Asht_Mehrobod,Asht,Mehrobod,9968,104,13250,4515,781,4515,100,0,0,0,0,13250,0,0,0,0,9961,0,0,0,0,104,0,0,0,0,0,0,4515,0,0,0,0,13250,0,0,3,0,9955,0,0,0,0,104,0,0,0,0,0,0,4515,0,0,0,0,13250,0,0,0,0,9961,0,0,0,0,104,169841.5459,746529525
12,Asht_Shodoba,Asht,Shodoba,6133,14,9191,2520,452,2520,100,0,0,0,0,9191,0,0,0,0,6133,0,0,0,0,14,0,0,0,0,0,0,2520,0,0,0,0,9191,0,0,0,0,6133,0,0,0,0,14,0,0,0,0,0,0,2520,0,0,0,0,9191,0,0,0,0,6133,0,0,0,0,14,47929.50935,75260587.5
