OBJECTID,JAMOAT,DISTRICT,JAMOAT_NAM,AGRI_AREA,ROAD_LENGT,NR_PEOPLE,NR_BUILDIN,BUAT_AREA,BUIL_EQ_10,TEMP,BUIL_EQ_11,BUIL_EQ_12,BUIL_EQ_13,BUIL_EQ_14,PEOP_EQ_10,PEOP_EQ_11,PEOP_EQ_12,PEOP_EQ_13,PEOP_EQ_14,AGRI_EQ_10,AGRI_EQ_11,AGRI_EQ_12,AGRI_EQ_13,AGRI_EQ_14,ROAD_EQ_10,ROAD_EQ_11,ROAD_EQ_12,ROAD_EQ_13,ROAD_EQ_14,BUIL_EQ_47,BUIL_EQ_48,BUIL_EQ_49,BUIL_EQ_50,BUIL_EQ_51,PEOP_EQ_47,PEOP_EQ_48,PEOP_EQ_49,PEOP_EQ_50,PEOP_EQ_51,AGRI_EQ_47,AGRI_EQ_48,AGRI_EQ_49,AGRI_EQ_50,AGRI_EQ_51,ROAD_EQ_47,ROAD_EQ_48,ROAD_EQ_49,ROAD_EQ_50,ROAD_EQ_51,BUIL_EQ_15,BUIL_EQ_16,BUIL_EQ_17,BUIL_EQ_18,BUIL_EQ_19,PEOP_EQ_15,PEOP_EQ_16,PEOP_EQ_17,PEOP_EQ_18,PEOP_EQ_19,AGRI_EQ_15,AGRI_EQ_16,AGRI_EQ_17,AGRI_EQ_18,AGRI_EQ_19,ROAD_EQ_15,ROAD_EQ_16,Shape_Length,Shape_Area
1,Asht_Asht,Asht,Asht,2992,65,21835,5352,904,0,0,175,5177,0,0,0,713,21122,0,0,0,126,2866,0,0,0,23,42,0,0,0,0,258,5094,0,0,0,1054,20781,0,0,0,196,2796,0,0,0,24,41,0,0,0,0,5352,0,0,0,0,21835,0,0,0,56,2936,0,0,0,143639.8725,349456275
2,Asht_Punuk,Asht,Punuk,1980,73,8948,2622,440,0,0,298,2324,0,0,0,1017,7931,0,0,0,70,1910,0,0,0,39,34,0,0,0,0,301,2320,0,0,0,1029,7919,0,0,0,76,1905,0,0,0,40,33,0,0,0,0,2622,0,0,0,0,8948,0,0,0,0,1980,0,0,0,76782.01811,145765350
3,Asht_Punuk,Asht,Punuk,1980,73,8948,2622,440,0,0,298,2324,0,0,0,1017,7931,0,0,0,70,1910,0,0,0,39,34,0,0,0,0,301,2320,0,0,0,1029,7919,0,0,0,76,1905,0,0,0,40,33,0,0,0,0,2622,0,0,0,0,8948,0,0,0,0,1980,0,0,0,31333.52886,4690012.5
4,Asht_Ponghoz,Asht,Ponghoz,1064,23,28281,5064,859,0,0,351,4713,0,0,0,1861,26420,0,0,0,795,270,0,0,0,8,16,0,0,0,0,614,4450,0,0,0,3255,25027,0,0,0,832,233,0,0,0,8,15,0,0,0,0,5064,0,0,0,0,28281,0,0,0,0,1064,0,0,0,73993.80615,189097087.5
5,Asht_Oshoba,Asht,Oshoba,11576,90,21361,5376,920,0,0,0,5376,0,0,0,0,21361,0,0,0,0,11576,0,0,0,0,90,0,0,0,0,0,5376,0,0,0,0,21361,0,0,0,0,11576,0,0,0,0,90,0,0,0,0,5376,0,0,0,0,21361,0,0,0,0,11576,0,0,0,160412.1856,389722725
6,Asht_Shaydon,Asht,Shaydon,7985,92,6173,7080,1201,0,0,772,6308,0,0,0,502,5672,0,0,0,479,7508,0,0,0,9,82,0,0,0,0,931,6149,0,0,0,606,5568,0,0,0,502,7484,0,0,0,10,82,0,0,0,0,7080,0,0,0,0,6173,0,0,0,0,7985,0,0,0,182506.6164,590353875
7,Asht_Iftikhor,Asht,Iftikhor,2746,55,11415,1917,326,0,0,0,1917,0,0,0,0,11415,0,0,0,0,2746,0,0,0,0,55,0,0,0,0,0,1917,0,0,0,0,11415,0,0,0,0,2746,0,0,0,0,55,0,0,0,0,1917,0,0,0,0,11415,0,0,0,0,2746,0,0,0,93790.38571,148386600
8,Asht_Punuk,Asht,Punuk,1980,73,8948,2622,440,0,0,298,2324,0,0,0,1017,7931,0,0,0,70,1910,0,0,0,39,34,0,0,0,0,301,2320,0,0,0,1029,7919,0,0,0,76,1905,0,0,0,40,33,0,0,0,0,2622,0,0,0,0,8948,0,0,0,0,1980,0,0,0,32505.91645,23375925
9,Asht_Oriyon,Asht,Oriyon,4075,30,18187,4891,833,0,0,0,4891,0,0,0,0,18187,0,0,0,0,4075,0,0,0,0,30,0,0,0,0,0,4891,0,0,0,0,18187,0,0,0,0,4075,0,0,0,0,30,0,0,0,0,4891,0,0,0,0,18187,0,0,0,0,4075,0,0,0,45970.3221,54716400
10,Asht_Adrasmon,Asht,Adrasmon,336,30,15100,2845,505,0,0,2845,0,0,0,0,15100,0,0,0,0,336,0,0,0,0,30,0,0,0,0,0,2845,0,0,0,0,15100,0,0,0,0,336,0,0,0,0,30,0,0,0,0,0,2845,0,0,0,0,15100,0,0,0,0,336,0,0,0,38042.06193,83644762.5
11,Asht_Mehrobod,Asht,Mehrobod,9968,104,13250,4515,781,0,0,451,4065,0,0,0,1357,11893,0,0,0,63,9906,0,0,0,9,94,0,0,0,0,911,3605,0,0,0,2741,10509,0,0,0,101,9867,0,0,0,15,89,0,0,0,0,4515,0,0,0,0,13250,0,0,0,0,9968,0,0,0,169841.5459,746529525
12,Asht_Shodoba,Asht,Shodoba,6133,14,9191,2520,452,0,0,0,2520,0,0,0,0,9191,0,0,0,0,6133,0,0,0,0,14,0,0,0,0,0,2520,0,0,0,0,9191,0,0,0,0,6133,0,0,0,0,14,0,0,0,0,2520,0,0,0,0,9191,0,0,0,0,6133,0,0,0,47929.50935,75260587.5
